English,Hindi
about,के बारे में
all,सब
also,भी
and,तथा
as,जैसा
at,पर
be,होना
because,इसलिये
but,लेकिन
by,द्वारा
can,कर सकते हैं
come,आइए
could,सका
day,दिन
do,करना
even,यहाँ तक की
find,पाना
first,प्रथम
for,के लिए
from,से
get,पाना
give,देना
go,जाओ
have,पास होना
he,वह
her,उसकी
here,यहां
him,उसे
his,उनके
how,कैसे
I,मैं
if,अगर
in,में
into,में
it,यह
its,इसका
just,अभी - अभी
know,जानना
like,पसंद
look,देखना
make,बनाना
man,पुरुष
many,बहुत म
me,मुझे
more,अधिक
my,मेरे
new,नया
no,ना
not,नहीं
now,अभी
of,का
on,पर
one,एक
only,केवल
or,या
other,अन्य
our,हमारी
out,बाहर
people,लोग
say,कहो
see,देख
she,वह
so,इसलिए
some,कुछ
take,लेना
tell,बताना
than,से
that,वह
their,उनका
them,उन्हें
then,फिर
there,वहां
these,इन
they,वे
thing,चीज़
think,सोच
this,यह
those,वे
time,समय
to,प्रति
two,दो
up,उपर
use,उपयोग
very,बहुत
want,मांगना
way,मार्ग
we,हम
well,कुंआ
what,क्या
when,कब
which,कौन कौन से
who,कौन
will,मर्जी
with,साथ
would,चाहेंगे
year,वर्ष
you,आप
your,आपका
a,एक